Robot Structural Analysis - Active Standard Sections (Filtered for France)
=====================================================================

### DATABASE: RCAT ###
Total sections: 2145

DCEP 60x8            | Weight:  10.85 kg/m
DCEP 70              | Weight:  14.75 kg/m
DCEP 70x10           | Weight:  14.75 kg/m
DCEP 70x12           | Weight:  14.75 kg/m
DCEP 70x6            | Weight:  14.75 kg/m
DCEP 70x7            | Weight:  14.75 kg/m
DCEP 70x8            | Weight:  14.75 kg/m
DCEP 80              | Weight:  19.26 kg/m
DCEP 80x10           | Weight:  19.26 kg/m
DCEP 80x12           | Weight:  19.26 kg/m
DCEP 80x14           | Weight:  19.26 kg/m
DCEP 80x7            | Weight:  19.26 kg/m
DCEP 80x8            | Weight:  19.26 kg/m
DCEP 90              | Weight:  24.37 kg/m
DCEP 90x10           | Weight:  24.37 kg/m
DCEP 90x12           | Weight:  24.37 kg/m
DCEP 90x14           | Weight:  24.37 kg/m
DCEP 90x16           | Weight:  24.37 kg/m
DCEP 90x7            | Weight:  24.37 kg/m
DCEP 90x8            | Weight:  24.37 kg/m
DCIG 100             | Weight:  24.24 kg/m
DCIG 100x10          | Weight:  24.24 kg/m
DCIG 100x12          | Weight:  24.24 kg/m
DCIG 100x7           | Weight:  24.24 kg/m
DCIG 100x8           | Weight:  24.24 kg/m
DCIG 120             | Weight:  30.03 kg/m
DCIG 120x10          | Weight:  30.03 kg/m
DCIG 120x12          | Weight:  24.24 kg/m
DCIG 120x8           | Weight:  30.03 kg/m
DCIG 150             | Weight:  36.35 kg/m
DCIG 150x10          | Weight:  36.35 kg/m
DCIG 150x12          | Weight:  36.35 kg/m
DCIG 150x8           | Weight:  36.35 kg/m
DCIG 40              | Weight:   3.86 kg/m
DCIG 40x4            | Weight:   3.86 kg/m
DCIG 40x5            | Weight:   3.86 kg/m
DCIG 40x6            | Weight:   3.86 kg/m
DCIG 45              | Weight:   4.49 kg/m
DCIG 45x4            | Weight:   4.49 kg/m
DCIG 45x5            | Weight:   4.49 kg/m
DCIG 45x6            | Weight:   4.49 kg/m
DCIG 50              | Weight:   5.93 kg/m
DCIG 50x4            | Weight:   5.93 kg/m
DCIG 50x5            | Weight:   5.93 kg/m
DCIG 50x6            | Weight:   5.93 kg/m
DCIG 50x7            | Weight:   5.93 kg/m
DCIG 50x8            | Weight:   5.93 kg/m
DCIG 60              | Weight:   7.52 kg/m
DCIG 60x4            | Weight:   7.52 kg/m
DCIG 60x5            | Weight:   7.52 kg/m
DCIG 60x6            | Weight:   7.52 kg/m
DCIG 60x7            | Weight:   7.52 kg/m
DCIG 60x8            | Weight:   7.52 kg/m
DCIG 70              | Weight:  10.80 kg/m
DCIG 70x10           | Weight:  10.80 kg/m
DCIG 70x5            | Weight:  10.80 kg/m
DCIG 70x6            | Weight:  10.80 kg/m
DCIG 70x7            | Weight:  10.80 kg/m
DCIG 70x8            | Weight:  10.80 kg/m
DCIG 80              | Weight:  13.58 kg/m
DCIG 80x10           | Weight:  13.58 kg/m
DCIG 80x12           | Weight:  13.58 kg/m
DCIG 80x6            | Weight:  13.58 kg/m
DCIG 80x7            | Weight:  13.58 kg/m
DCIG 80x8            | Weight:  13.58 kg/m
DCIG 90              | Weight:  19.20 kg/m
DCIG 90x10           | Weight:  19.20 kg/m
DCIG 90x12           | Weight:  19.20 kg/m
DCIG 90x7            | Weight:  19.20 kg/m
DCIG 90x8            | Weight:  19.20 kg/m
DCIP 100             | Weight:  24.24 kg/m
DCIP 100x10          | Weight:  24.24 kg/m
DCIP 100x12          | Weight:  24.24 kg/m
DCIP 100x7           | Weight:  24.24 kg/m
DCIP 100x8           | Weight:  24.24 kg/m
DCIP 120             | Weight:  30.03 kg/m
DCIP 120x10          | Weight:  30.03 kg/m
DCIP 120x12          | Weight:  30.03 kg/m
DCIP 120x8           | Weight:  30.03 kg/m
DCIP 150             | Weight:  36.35 kg/m
DCIP 150x10          | Weight:  36.35 kg/m
DCIP 150x12          | Weight:  36.35 kg/m
